sample_id,bartscore_doc2sum,bartscore_sum2doc
91,-0.807817816734314,-3.8397810459136963
92,-0.8839768171310425,-2.7400503158569336
95,-1.6272122859954834,-4.069779396057129
96,-3.112032651901245,-3.533769130706787
97,-0.6840716004371643,-3.406336784362793
98,-1.451541543006897,-4.009903907775879
99,-1.7132854461669922,-3.739805221557617
101,-2.746302366256714,-3.668950080871582
102,-0.9990025758743286,-3.65972900390625
104,-1.0399284362792969,-3.363454580307007
105,-0.6836775541305542,-3.3692703247070312
108,-0.7375314235687256,-3.6532304286956787
111,-1.4547028541564941,-3.720083475112915
113,-1.9123700857162476,-3.5468637943267822
117,-1.0382716655731201,-3.2133116722106934
118,-0.9460359215736389,-2.639185905456543
119,-0.5259711146354675,-3.2304306030273438
122,-1.573901653289795,-3.691826343536377
123,-2.980653762817383,-4.035594463348389
126,-1.8480982780456543,-3.445817470550537
128,-1.4904111623764038,-3.472421646118164
130,-0.6308902502059937,-3.076772689819336
133,-2.037889003753662,-3.541206121444702
135,-2.066451072692871,-3.538710117340088
136,-1.7244248390197754,-3.5240747928619385
139,-2.7494752407073975,-3.4230566024780273
140,-2.292607069015503,-3.694458246231079
143,-1.2880419492721558,-2.6278350353240967
144,-1.447920322418213,-3.790465831756592
145,-1.2590283155441284,-3.4001681804656982
146,-2.516740083694458,-3.7295589447021484
147,-2.0356523990631104,-3.77178955078125
155,-0.8615705370903015,-3.591465950012207
157,-1.3721917867660522,-4.032719135284424
162,-1.0794079303741455,-3.4446394443511963
163,-2.4172866344451904,-4.359557628631592
165,-0.9514868855476379,-3.60262393951416
167,-0.7177039384841919,-3.355372905731201
175,-2.52579402923584,-3.9360828399658203
176,-1.9730554819107056,-4.26686954498291
177,-1.5073206424713135,-3.712455987930298
180,-2.673786163330078,-4.027875900268555
182,-2.4708640575408936,-3.8314270973205566
183,-0.6717923283576965,-2.023303270339966
184,-2.784958839416504,-4.10954475402832
188,-1.0480324029922485,-3.615731716156006
189,-1.9539133310317993,-4.31748104095459
191,-0.8071449398994446,-2.726762533187866
194,-2.768256902694702,-4.133413314819336
196,-1.1394693851470947,-3.6181488037109375
197,-1.060909390449524,-3.9312021732330322
201,-1.8248780965805054,-3.9490764141082764
202,-1.1643909215927124,-3.349161148071289
206,-1.674316167831421,-4.305999755859375
208,-1.128106951713562,-3.6692702770233154
212,-0.7624155282974243,-3.4655282497406006
214,-1.806201457977295,-3.552219867706299
216,-1.0147895812988281,-3.536823272705078
221,-2.058156728744507,-3.683256149291992
223,-2.80953311920166,-4.162651062011719
224,-1.5823019742965698,-3.4321365356445312
225,-1.1778086423873901,-3.2340593338012695
228,-2.7424004077911377,-4.213752269744873
230,-1.318023920059204,-4.140206813812256
232,-1.8242789506912231,-3.840613842010498
233,-0.9204752445220947,-3.0095057487487793
238,-0.7915152907371521,-3.1324875354766846
239,-2.6818668842315674,-3.5207786560058594
241,-2.195277452468872,-3.6290276050567627
243,-0.8419720530509949,-3.417102813720703
248,-0.9314044117927551,-3.449913501739502
250,-2.0980989933013916,-3.820202350616455
253,-1.9716260433197021,-3.7603108882904053
256,-3.431751012802124,-3.9460461139678955
263,-0.7770629525184631,-3.4525160789489746
264,-0.9232006669044495,-3.027514696121216
266,-0.9346461296081543,-2.28055477142334
270,-2.1460397243499756,-3.4892568588256836
271,-0.627189576625824,-3.0235588550567627
272,-0.8054066896438599,-4.020556926727295
274,-1.0911672115325928,-3.4139628410339355
279,-1.6631169319152832,-3.7220611572265625
280,-2.563339948654175,-5.220782279968262
281,-0.691541314125061,-3.138169527053833
284,-1.5663400888442993,-4.158384323120117
285,-0.9506767988204956,-3.155665874481201
286,-1.2303813695907593,-3.27443790435791
287,-3.6228630542755127,-4.097814559936523
288,-1.9075877666473389,-3.50997257232666
289,-2.8644747734069824,-3.9700934886932373
290,-1.2281054258346558,-3.2958226203918457
291,-1.2701432704925537,-3.482912302017212
292,-0.9341524839401245,-3.6724181175231934
293,-2.1307082176208496,-4.087993621826172
296,-0.6074520945549011,-3.4947991371154785
297,-1.0318666696548462,-3.3676328659057617
305,-0.8700045943260193,-4.099427223205566
306,-2.6117844581604004,-4.340723514556885
309,-1.5491902828216553,-3.6767728328704834
310,-2.9078025817871094,-3.7316932678222656
312,-1.4884005784988403,-3.7970263957977295
318,-1.8715944290161133,-4.123784065246582
331,-2.179252862930298,-3.6617941856384277
333,-1.2587032318115234,-2.8232474327087402
337,-2.2881789207458496,-4.574112415313721
339,-3.4024393558502197,-4.236696243286133
340,-1.6650868654251099,-3.765625238418579
341,-0.45755553245544434,-2.398629665374756
344,-1.992709994316101,-3.7178940773010254
345,-1.2381020784378052,-3.1788249015808105
347,-0.8336494565010071,-4.196307182312012
349,-0.7505132555961609,-2.913407564163208
352,-1.2145804166793823,-3.9366424083709717
354,-1.2153419256210327,-3.6859214305877686
356,-1.167270541191101,-3.5016796588897705
358,-1.0304652452468872,-3.8941850662231445
360,-0.6368072628974915,-4.024456977844238
362,-1.0059210062026978,-2.6818768978118896
364,-0.6563175320625305,-3.1436760425567627
365,-1.4868329763412476,-3.569240093231201
369,-1.0358271598815918,-3.5095503330230713
370,-2.3856041431427,-3.9004507064819336
373,-0.9964576363563538,-3.274587869644165
377,-1.3068121671676636,-3.763166904449463
379,-3.2863638401031494,-4.365360260009766
380,-1.1935737133026123,-3.237518310546875
383,-1.1509288549423218,-3.881977081298828
384,-2.607163906097412,-3.461956024169922
386,-0.9851630330085754,-3.467043399810791
387,-0.8387766480445862,-2.7500510215759277
388,-0.6758003234863281,-3.273557662963867
389,-0.6677762866020203,-3.0324642658233643
391,-1.4852758646011353,-3.9374313354492188
392,-1.8230208158493042,-3.6157894134521484
393,-3.951242446899414,-3.3757362365722656
395,-1.784469723701477,-4.476315498352051
397,-1.0789239406585693,-3.5647101402282715
398,-2.4911935329437256,-4.073153972625732
399,-1.5584142208099365,-2.834451675415039
402,-0.6387995481491089,-3.4023051261901855
404,-2.0662245750427246,-3.819801092147827
406,-1.3267079591751099,-3.812509536743164
408,-1.3135275840759277,-3.977835178375244
409,-2.6069679260253906,-4.090500831604004
412,-1.08086359500885,-4.03971004486084
415,-2.752504587173462,-4.084418296813965
417,-2.4796202182769775,-3.748816967010498
419,-1.2318428754806519,-4.164806365966797
425,-3.040893316268921,-4.118257522583008
427,-1.0255135297775269,-3.342914581298828
431,-0.9123845100402832,-3.5090904235839844
432,-1.3914412260055542,-3.4112086296081543
433,-1.7194688320159912,-3.8294801712036133
435,-0.9840180277824402,-3.433363676071167
437,-0.9193317294120789,-2.570204019546509
