sample_id,bartscore_doc2sum,bartscore_sum2doc
288,-1.5438554286956787,-3.356112480163574
289,-1.3512548208236694,-3.3632278442382812
290,-1.2382813692092896,-3.269026041030884
291,-2.089179277420044,-3.3979477882385254
292,-2.628666877746582,-3.8190767765045166
293,-2.5780086517333984,-3.7901535034179688
296,-3.364165782928467,-3.6209449768066406
297,-1.3691092729568481,-3.461968183517456
305,-1.5169494152069092,-3.8264384269714355
306,-2.443164110183716,-4.220688819885254
309,-1.972536563873291,-3.35084867477417
310,-1.8891156911849976,-3.0048208236694336
312,-2.047785758972168,-3.605923652648926
318,-2.756167411804199,-4.168547630310059
331,-1.1473124027252197,-3.3371450901031494
333,-0.9273841977119446,-2.5298337936401367
337,-2.7369306087493896,-3.9846858978271484
339,-3.7368674278259277,-4.311750888824463
340,-1.3699665069580078,-3.545494794845581
341,-1.077788233757019,-2.9324872493743896
344,-1.5674972534179688,-3.528184175491333
345,-1.5925366878509521,-3.2679390907287598
347,-2.0923707485198975,-3.881978988647461
349,-0.9617766737937927,-2.719369888305664
352,-1.987277626991272,-3.8472447395324707
354,-2.365022659301758,-3.6445651054382324
356,-1.9997767210006714,-3.739790916442871
358,-1.1179614067077637,-3.591996431350708
360,-0.8299742937088013,-4.011717796325684
362,-1.9270639419555664,-3.2372591495513916
364,-1.1485166549682617,-3.460137128829956
365,-2.557285785675049,-3.7098987102508545
369,-1.8299438953399658,-3.4685745239257812
370,-1.4596564769744873,-3.317319393157959
373,-2.9244914054870605,-4.118465423583984
377,-1.5862770080566406,-3.7162976264953613
379,-3.0020387172698975,-4.319950103759766
380,-2.0650830268859863,-3.3554701805114746
383,-1.1808973550796509,-3.753972291946411
384,-2.3039495944976807,-3.415426254272461
386,-1.4207310676574707,-3.083564519882202
387,-0.946070671081543,-2.7187917232513428
388,-0.9643704891204834,-3.145517349243164
389,-2.3866050243377686,-3.30293869972229
391,-3.0488460063934326,-4.128334999084473
392,-1.1588889360427856,-3.6934075355529785
393,-1.792912483215332,-3.0069870948791504
395,-3.0646350383758545,-4.45682430267334
397,-1.3431658744812012,-3.621422052383423
398,-2.457562208175659,-3.9550719261169434
399,-1.5031249523162842,-3.2810306549072266
402,-1.1744107007980347,-3.456427812576294
404,-1.6224037408828735,-3.8550682067871094
406,-1.704683780670166,-3.944535255432129
408,-1.7556513547897339,-3.6596012115478516
409,-1.3574692010879517,-3.8334109783172607
