sample_id,flat_1024_doc2sum,flat_1024_sum2doc,flat_overlap_doc2sum,flat_overlap_sum2doc,treesum_doc2sum,treesum_sum2doc
211,-2.5364632606506348,-3.2348077297210693,-2.694422483444214,-3.4745633602142334,-3.040342330932617,-3.740572452545166
217,-2.3917953968048096,-3.8438587188720703,-2.391796112060547,-3.8438587188720703,-2.60239577293396,-3.8576242923736572
220,-2.452620029449463,-3.19909405708313,-2.4864323139190674,-3.262202024459839,-2.0906686782836914,-3.2259504795074463
222,-2.3551025390625,-3.8136491775512695,-2.3552780151367188,-3.7359495162963867,-2.76027512550354,-3.802520990371704
226,-2.5767359733581543,-3.98034930229187,-2.6717875003814697,-4.127575397491455,-2.4904892444610596,-4.210845947265625
235,-2.5508811473846436,-2.9240009784698486,-2.5508813858032227,-2.9240009784698486,-2.756549596786499,-3.3588428497314453
236,-2.9839179515838623,-3.9704365730285645,-2.9674630165100098,-4.0572357177734375,-2.8945086002349854,-4.074120998382568
237,-2.8540308475494385,-3.6279542446136475,-2.44759464263916,-3.257758855819702,-2.3163440227508545,-3.188837766647339
244,-2.5829803943634033,-3.5705175399780273,-2.42122745513916,-3.489769697189331,-2.532360315322876,-3.5440402030944824
254,-3.1687114238739014,-4.114852428436279,-3.157341241836548,-4.104128360748291,-2.7228221893310547,-4.515503406524658
257,-2.944253921508789,-3.7545225620269775,-3.090714693069458,-3.7325599193573,-3.055065631866455,-3.776336193084717
260,-2.692103862762451,-2.9397757053375244,-2.6921048164367676,-2.9397759437561035,-2.2003297805786133,-2.6277434825897217
262,-2.319392681121826,-3.4509403705596924,-2.2337803840637207,-3.6378114223480225,-2.094682455062866,-3.484532117843628
267,-3.0395710468292236,-3.491152048110962,-3.241628408432007,-3.6953113079071045,-3.7495639324188232,-3.747493267059326
295,-3.0965194702148438,-2.955263137817383,-3.0965192317962646,-2.955263137817383,-3.333766222000122,-3.3708951473236084
300,-2.528643846511841,-2.7455599308013916,-2.486253023147583,-2.6782515048980713,-2.4348950386047363,-3.16636323928833
313,-2.5973405838012695,-4.581171989440918,-2.5973403453826904,-4.581171989440918,-2.876730442047119,-4.336684226989746
317,-3.3624210357666016,-4.630744457244873,-3.4206619262695312,-4.597621440887451,-3.172621011734009,-4.566214561462402
325,-3.0038065910339355,-4.199227809906006,-3.0038068294525146,-4.199227333068848,-3.631530284881592,-4.873141288757324
326,-2.8328020572662354,-3.195643424987793,-3.0239171981811523,-3.3282785415649414,-2.820775270462036,-3.26072359085083
329,-2.6800644397735596,-3.2886734008789062,-2.834531784057617,-3.2656729221343994,-3.0755069255828857,-3.3345999717712402
336,-2.909404993057251,-3.8971943855285645,-2.8758013248443604,-3.9268510341644287,-2.929448127746582,-3.8838412761688232
342,-3.0116302967071533,-3.492783784866333,-3.093585729598999,-3.4816761016845703,-3.333446502685547,-3.7296218872070312
355,-3.1437392234802246,-3.881732225418091,-2.872821569442749,-2.910418748855591,-2.5661730766296387,-2.434464454650879
361,-2.8372581005096436,-3.3460066318511963,-2.9093825817108154,-3.298346996307373,-2.7713873386383057,-3.270277738571167
363,-2.3769874572753906,-3.83419132232666,-2.3769872188568115,-3.834190845489502,-2.1687748432159424,-3.7241241931915283
372,-2.7092361450195312,-2.624678373336792,-2.907676935195923,-2.6666152477264404,-2.93760347366333,-3.6343839168548584
375,-2.7740509510040283,-4.275134563446045,-2.7740509510040283,-4.275134086608887,-2.896935224533081,-4.161867141723633
378,-2.3199269771575928,-4.113001346588135,-2.3476061820983887,-4.059355735778809,-2.2380361557006836,-3.9478864669799805
385,-2.953917980194092,-3.5069639682769775,-2.9539177417755127,-3.5069634914398193,-2.375087261199951,-2.6561810970306396
410,-2.257422924041748,-3.0624840259552,-2.257422924041748,-3.0624840259552,-2.3372623920440674,-2.941321611404419
411,-3.1757586002349854,-4.1550211906433105,-2.956902265548706,-4.13169002532959,-3.339447021484375,-4.24241304397583
414,-3.540064811706543,-4.874748229980469,-3.6852948665618896,-4.814695358276367,-3.7241928577423096,-4.810463905334473
416,-3.771920680999756,-4.265816688537598,-3.2464349269866943,-3.9160983562469482,-3.5775814056396484,-4.093365669250488
420,-2.67764949798584,-4.564043998718262,-3.306692361831665,-3.4158761501312256,-3.28566575050354,-3.407618284225464
422,-2.987539768218994,-3.96086049079895,-2.725635290145874,-3.9221103191375732,-3.131749391555786,-3.9612207412719727
426,-3.18350887298584,-4.181947231292725,-3.2677392959594727,-4.075481414794922,-3.0389695167541504,-3.6406633853912354
439,-4.178767204284668,-2.8525850772857666,-3.674672842025757,-2.8124523162841797,-3.611419439315796,-2.8278067111968994
443,-2.4327633380889893,-2.949230432510376,-2.4327633380889893,-2.949230432510376,-2.483147382736206,-3.2554819583892822
444,-3.5497887134552,-3.221691131591797,-2.6397626399993896,-3.6429429054260254,-2.9008848667144775,-2.843658924102783
446,-3.857813596725464,-4.3701066970825195,-3.71521258354187,-4.37579345703125,-3.3775901794433594,-4.247293949127197
458,-2.4108147621154785,-3.805398464202881,-2.4108145236968994,-3.805398464202881,-3.080414056777954,-3.571056604385376
465,-3.971923351287842,-3.8160674571990967,-2.6243507862091064,-4.064270973205566,-3.2255382537841797,-4.2003984451293945
