sample_id,PRIMERA_bertscore_precision,PRIMERA_bertscore_recall,PRIMERA_bertscore_f1,PEGASUS_bertscore_precision,PEGASUS_bertscore_recall,PEGASUS_bertscore_f1,BART_bertscore_precision,BART_bertscore_recall,BART_bertscore_f1,TreeSum_bertscore_precision,TreeSum_bertscore_recall,TreeSum_bertscore_f1
4400,84.33744049072266,82.90198516845703,83.6135482788086,84.93074035644531,86.461181640625,85.68913269042969,84.29844665527344,84.08515167236328,84.19165802001953,87.3500747680664,87.73689270019531,87.54306030273438
4402,84.317626953125,81.90815734863281,83.09542846679688,82.9002685546875,81.60325622558594,82.24664306640625,82.78834533691406,80.17268371582031,81.45951843261719,80.42337036132812,81.14461517333984,80.78238677978516
4405,85.01236724853516,84.2559585571289,84.6324691772461,85.62969970703125,85.4413833618164,85.53544616699219,83.85411834716797,81.50221252441406,82.66143798828125,84.72062683105469,84.33897399902344,84.52937316894531
4411,88.41695404052734,86.67189025878906,87.53572845458984,90.69279479980469,88.38792419433594,89.52552032470703,87.44124603271484,86.20530700683594,86.8188705444336,92.20887756347656,90.11079406738281,91.14775848388672
4413,89.94141387939453,87.51419830322266,88.7112045288086,87.78340148925781,87.61532592773438,87.69927978515625,88.88253784179688,85.4260025024414,87.12000274658203,88.09850311279297,87.96572875976562,88.03205871582031
4414,88.46448516845703,86.75498962402344,87.60140228271484,88.57852172851562,89.05807495117188,88.8176498413086,88.60924530029297,84.15904998779297,86.32683563232422,87.56147003173828,87.18789672851562,87.37428283691406
4419,82.7933578491211,80.46197509765625,81.61102294921875,84.33667755126953,82.05599975585938,83.18070983886719,79.03874206542969,79.5829086303711,79.30989837646484,84.80098724365234,82.36736297607422,83.56645965576172
4421,89.07868957519531,89.87767791748047,89.47640228271484,89.72178649902344,92.6053695678711,91.14078521728516,87.50814056396484,89.29541015625,88.39273834228516,89.51758575439453,91.98487091064453,90.73445892333984
4422,86.24507141113281,83.55946350097656,84.88103485107422,88.63703918457031,88.66024017333984,88.64864349365234,90.48188018798828,84.43965911865234,87.35641479492188,86.86231231689453,83.97342681884766,85.39344787597656
4427,85.575927734375,83.95922088623047,84.7598648071289,88.65458679199219,86.08012390136719,87.34838104248047,88.66503143310547,84.12403869628906,86.33486938476562,87.7369613647461,87.29802703857422,87.5169448852539
4429,88.30743408203125,84.51539611816406,86.36981201171875,88.75933837890625,88.28733825683594,88.522705078125,89.099365234375,85.27143859863281,87.14337921142578,86.34870910644531,85.14464569091797,85.74244689941406
4433,84.51998901367188,82.07481384277344,83.27945709228516,83.68407440185547,82.47062683105469,83.07292175292969,84.78926849365234,81.80120849609375,83.26844787597656,84.69715118408203,83.55655670166016,84.12299346923828
4434,85.33920288085938,85.05007934570312,85.19438934326172,88.11543273925781,90.2744140625,89.1818618774414,85.85631561279297,86.74080657958984,86.29629516601562,89.91657257080078,90.78253173828125,90.34747314453125
4436,87.29412841796875,88.72769165039062,88.00507354736328,86.44095611572266,88.2170181274414,87.31996154785156,85.97710418701172,84.97992706298828,85.4756088256836,85.71184539794922,88.03240203857422,86.85662841796875
4437,87.02739715576172,87.47554779052734,87.25089263916016,89.93106842041016,89.7617416381836,89.84632110595703,86.2217788696289,86.23217010498047,86.22696685791016,87.97393035888672,88.60405731201172,88.2878646850586
4438,89.33512115478516,86.67283630371094,87.98384094238281,90.9523696899414,88.3797607421875,89.64761352539062,88.22887420654297,85.91705322265625,87.0576171875,89.79759979248047,86.6243667602539,88.18244171142578
4440,83.42903900146484,83.40766143798828,83.41834259033203,82.80168151855469,86.66299438476562,84.68834686279297,85.45628356933594,85.11647033691406,85.28604125976562,85.77979278564453,87.2943115234375,86.53042602539062
4442,80.7175521850586,81.39554595947266,81.05513000488281,71.56820678710938,80.86585998535156,75.93348693847656,80.93167877197266,80.88309478759766,80.9073715209961,80.07852172851562,81.30119323730469,80.68521881103516
4447,87.57017517089844,85.07095336914062,86.30247497558594,89.57447052001953,87.12545776367188,88.3329849243164,87.878662109375,84.8985824584961,86.3629150390625,87.38548278808594,85.8219985961914,86.59668731689453
4452,90.01325988769531,89.3787612915039,89.69488525390625,90.99358367919922,92.29425048828125,91.6393051147461,90.1947021484375,87.94387817382812,89.05506896972656,90.052978515625,90.98365020751953,90.51592254638672
4454,91.10276794433594,86.42666625976562,88.70313262939453,81.0876693725586,80.8089370727539,80.94805145263672,82.30115509033203,80.62679290771484,81.45537567138672,88.05270385742188,85.44486999511719,86.72918701171875
4456,87.62559509277344,86.81565856933594,87.21875,91.42198181152344,88.24690246582031,89.80638885498047,87.79666137695312,85.45519256591797,86.610107421875,89.35941314697266,88.38420104980469,88.86913299560547
4457,84.3155288696289,81.68390655517578,82.97885131835938,89.4462661743164,85.61878204345703,87.49068450927734,84.34378814697266,80.50064849853516,82.3774185180664,87.15528869628906,86.09901428222656,86.62393188476562
4458,86.61759185791016,85.39061737060547,85.99971771240234,84.2662124633789,86.3874282836914,85.31364440917969,84.90647888183594,84.4737319946289,84.6895523071289,86.78306579589844,87.86798095703125,87.32215118408203
4463,83.78648376464844,84.34848022460938,84.06654357910156,84.85548400878906,85.1006088256836,84.97787475585938,84.35185241699219,82.17802429199219,83.25074768066406,81.99232482910156,82.51781463623047,82.25423431396484
4466,87.38956451416016,85.07137298583984,86.21488952636719,85.97903442382812,85.80767822265625,85.89327239990234,85.36003112792969,83.27104949951172,84.30260467529297,87.14820098876953,86.84439086914062,86.99604034423828
4471,82.3427734375,79.09735107421875,80.68743896484375,88.65190124511719,85.76202392578125,87.18302154541016,85.61679077148438,79.86905670166016,82.64310455322266,85.77124786376953,80.69044494628906,83.15330505371094
4472,88.95184326171875,89.4480209350586,89.1992416381836,89.16159057617188,89.07283782958984,89.11719512939453,89.8030014038086,88.01455688476562,88.89978790283203,88.05961608886719,89.57876586914062,88.81269073486328
4474,87.88253021240234,86.70000457763672,87.28726196289062,87.95585632324219,87.49565124511719,87.72515106201172,83.64775085449219,83.82880401611328,83.7381820678711,88.41202545166016,86.67676544189453,87.5357894897461
4476,87.86439514160156,86.86144256591797,87.36003875732422,88.02153778076172,88.22946166992188,88.12538146972656,90.57716369628906,86.10729217529297,88.28568267822266,88.67259979248047,88.71829223632812,88.69544219970703
4478,83.20529174804688,80.95689392089844,82.06570434570312,87.57077026367188,85.10126495361328,86.318359375,86.4748764038086,84.12557220458984,85.28404998779297,88.79373931884766,86.40705108642578,87.58414459228516
4479,88.23692321777344,86.56962585449219,87.39532470703125,84.12022399902344,85.51620483398438,84.81246948242188,84.81246185302734,84.45044708251953,84.63106536865234,85.82494354248047,86.33830261230469,86.08085632324219
4480,86.52609252929688,83.344482421875,84.9054946899414,82.7553482055664,82.73320007324219,82.7442626953125,84.04403686523438,81.47122192382812,82.73764038085938,88.7300033569336,85.89263916015625,87.28826904296875
4481,86.61039733886719,84.17984008789062,85.37781524658203,85.66600799560547,85.30750274658203,85.48637390136719,77.19103240966797,78.86198425292969,78.01756286621094,85.18903350830078,84.69424438476562,84.94091796875
4482,89.22921752929688,86.34971618652344,87.76586151123047,90.11825561523438,89.39634704589844,89.75585174560547,91.42430114746094,87.5014419555664,89.41986846923828,91.77015686035156,88.78229522705078,90.25150299072266
4484,85.17345428466797,83.8983154296875,84.53108215332031,84.0215072631836,84.06854248046875,84.04501342773438,84.75044250488281,82.95449829101562,83.84286499023438,85.33369445800781,82.95743560791016,84.1287841796875
4485,84.53484344482422,84.33307647705078,84.433837890625,84.9685287475586,84.16289520263672,84.56378936767578,85.43836212158203,83.06207275390625,84.23345947265625,86.57862854003906,85.677978515625,86.12594604492188
4493,88.68807220458984,86.67144012451172,87.66816711425781,89.22918701171875,88.41622924804688,88.82084655761719,88.93134307861328,85.91123962402344,87.39521026611328,88.64705657958984,86.12218475341797,87.36638641357422
4494,85.37555694580078,84.05574798583984,84.71051025390625,86.55255889892578,86.68840026855469,86.62042236328125,85.86436462402344,83.59803771972656,84.71604919433594,83.68534851074219,84.6492691040039,84.16455078125
4495,85.27320861816406,83.73688507080078,84.49806213378906,86.97203063964844,87.42119598388672,87.19603729248047,86.17479705810547,84.2596206665039,85.20645141601562,83.66921997070312,83.92772674560547,83.79827117919922
4496,83.27344512939453,81.58260345458984,82.41935729980469,83.5906753540039,81.78775787353516,82.67938995361328,85.01194763183594,81.81452178955078,83.3825912475586,82.10591125488281,80.13893127441406,81.11050415039062
4498,88.04216003417969,84.86087799072266,86.42225646972656,88.24909973144531,86.54295349121094,87.3876953125,88.6887435913086,83.5174560546875,86.02545928955078,88.49249267578125,86.65181732177734,87.5624771118164
4504,81.19125366210938,82.36368560791016,81.77326965332031,77.74533081054688,82.4346923828125,80.0213623046875,82.06761932373047,81.74946594238281,81.90823364257812,82.00806427001953,82.62932586669922,82.31752014160156
4507,91.89649963378906,87.0712661743164,89.41883087158203,88.69881439208984,87.90039825439453,88.29780578613281,85.2048110961914,82.1532974243164,83.65122985839844,84.81413269042969,83.15789794921875,83.97785186767578
4510,84.61612701416016,81.41411590576172,82.98424530029297,83.83175659179688,82.27043914794922,83.04376220703125,83.7691421508789,80.1294937133789,81.90890502929688,86.35152435302734,85.2275619506836,85.78585815429688
4513,85.26802062988281,82.53758239746094,83.8805923461914,82.06074523925781,83.25691986083984,82.65450286865234,84.55009460449219,83.2763442993164,83.90838623046875,82.02589416503906,83.50293731689453,82.75782775878906
4516,85.71001434326172,84.40475463867188,85.05237579345703,87.03216552734375,84.85047912597656,85.92747497558594,85.60163116455078,82.46356964111328,84.00330352783203,85.69770050048828,85.8209457397461,85.75927734375
4518,90.11791229248047,87.15564727783203,88.61203002929688,87.09313201904297,86.75212097167969,86.92229461669922,86.41889953613281,82.20648956298828,84.26008605957031,88.13365173339844,89.17826080322266,88.65287780761719
4523,88.41080474853516,85.0185546875,86.68150329589844,90.25032806396484,88.32178497314453,89.27564239501953,89.74628448486328,84.91350555419922,87.26303100585938,90.43382263183594,87.9308853149414,89.164794921875
4527,87.65754699707031,82.52910614013672,85.01605224609375,86.45680236816406,84.64768981933594,85.54268646240234,87.7783203125,82.53714752197266,85.07708740234375,87.31722259521484,84.73554992675781,86.00701904296875
4530,88.190185546875,84.64620208740234,86.3818588256836,86.15263366699219,85.1718521118164,85.65943908691406,86.4761962890625,82.86815643310547,84.63373565673828,85.27648162841797,85.53468322753906,85.40538787841797
4531,86.15980529785156,84.13395690917969,85.13482666015625,85.10307312011719,85.01432800292969,85.05867767333984,83.51504516601562,81.28218841552734,82.38349914550781,87.18854522705078,86.09198760986328,86.63679504394531
4535,90.21278381347656,88.41963958740234,89.30721282958984,89.15323638916016,89.36714172363281,89.26006317138672,87.69386291503906,87.2846450805664,87.48877716064453,88.4632797241211,89.3620376586914,88.91038513183594
4536,86.85366821289062,83.27107238769531,85.02464294433594,86.04669952392578,84.56705474853516,85.30046081542969,87.05030822753906,81.6137466430664,84.2444076538086,86.53323364257812,84.32972717285156,85.41726684570312
4540,84.27104949951172,82.47412109375,83.36290740966797,82.990966796875,82.41281127929688,82.70088195800781,83.5732421875,80.24571990966797,81.87568664550781,84.09349060058594,83.55555725097656,83.82365417480469
4542,84.43701171875,83.0757827758789,83.75086975097656,83.38050842285156,82.45467376708984,82.91500091552734,84.26021575927734,81.60393524169922,82.91080474853516,84.17577362060547,83.7115249633789,83.94300079345703
4545,92.1044921875,89.87628173828125,90.97674560546875,88.77979278564453,89.82968139648438,89.30165100097656,86.23336029052734,84.83164978027344,85.5267562866211,90.39666748046875,89.8177490234375,90.10627746582031
4546,90.33245849609375,87.40779113769531,88.84606170654297,92.4670181274414,89.21771240234375,90.81330108642578,89.93730926513672,86.44581604003906,88.1570053100586,91.59757232666016,90.41321563720703,91.00153350830078
4547,83.8282241821289,83.09245300292969,83.4587173461914,84.99047088623047,85.19512176513672,85.09268188476562,86.99140930175781,84.83295440673828,85.89862823486328,87.54539489746094,87.51655578613281,87.53097534179688
4549,83.1525650024414,83.7847900390625,83.46748352050781,83.53718566894531,82.98348999023438,83.25941467285156,84.39093017578125,81.83085632324219,83.09117889404297,84.18270874023438,83.27743530273438,83.72763061523438
4551,90.5096664428711,88.60981750488281,89.5496597290039,88.11493682861328,89.98023223876953,89.03781127929688,86.21251678466797,84.23741912841797,85.2135238647461,86.7551498413086,84.33209991455078,85.5264663696289
4558,89.24999237060547,89.33489990234375,89.29243469238281,87.24305725097656,89.93871307373047,88.57038116455078,88.52661895751953,88.05410766601562,88.28973388671875,88.67259216308594,88.63536834716797,88.65396881103516
4560,88.38797760009766,86.09683227539062,87.22736358642578,86.6535415649414,88.10946655273438,87.37543487548828,84.71450805664062,82.84398651123047,83.76880645751953,89.2271957397461,87.99756622314453,88.60811614990234
4561,87.4446029663086,84.81520080566406,86.10983276367188,87.82212829589844,86.03062438964844,86.91714477539062,89.96001434326172,85.83332061767578,87.84823608398438,89.88948822021484,86.8833999633789,88.36088562011719
4564,85.9925537109375,83.16497802734375,84.55513000488281,89.39462280273438,84.51815032958984,86.88802337646484,88.09709167480469,83.0809326171875,85.5155258178711,86.89140319824219,84.54196166992188,85.7005844116211
4565,86.3577880859375,83.4884033203125,84.89885711669922,87.07266235351562,84.11256408691406,85.5670166015625,87.58765411376953,83.84033203125,85.67303466796875,85.93336486816406,85.45606994628906,85.69405364990234
4570,88.83898162841797,84.74317932128906,86.74275970458984,89.37535095214844,87.34709930419922,88.3495864868164,89.0334701538086,83.61151123046875,86.23735046386719,87.49742126464844,84.9847183227539,86.22277069091797
4573,83.89094543457031,86.64743041992188,85.24690246582031,83.71684265136719,87.33935546875,85.48974609375,85.85803985595703,86.76832580566406,86.31078338623047,81.594970703125,86.98455047607422,84.20360565185547
4574,86.25238800048828,85.14878845214844,85.69703674316406,90.90693664550781,89.21918487548828,90.0551528930664,90.7115707397461,90.07308197021484,90.39119720458984,89.75108337402344,90.26777648925781,90.00869750976562
4575,87.36282348632812,85.59404754638672,86.46939086914062,90.2133560180664,91.0446548461914,90.6270980834961,87.02383422851562,83.94141387939453,85.45484161376953,89.84455871582031,89.3746337890625,89.6089859008789
4576,87.40867614746094,85.89311981201172,86.64427185058594,85.33712005615234,85.4314193725586,85.38423919677734,86.30944061279297,84.31978607177734,85.30301666259766,87.87049865722656,86.63456726074219,87.24816131591797
4579,84.68293762207031,85.92604064941406,85.29996490478516,85.45771789550781,86.90575408935547,86.17565155029297,83.75634765625,85.15760040283203,84.45116424560547,87.14595794677734,86.20573425292969,86.67329406738281
4580,91.06659698486328,87.45585632324219,89.22471618652344,92.06490325927734,86.76908874511719,89.33858489990234,91.6469955444336,85.89025115966797,88.67528533935547,91.20804595947266,87.7878646850586,89.46527099609375
4581,81.27630615234375,82.99900817871094,82.12863159179688,81.09368896484375,83.88873291015625,82.46753692626953,82.25252532958984,83.59800720214844,82.91981506347656,81.83006286621094,84.24073028564453,83.01789093017578
4584,85.06005096435547,82.854248046875,83.94266510009766,88.03280639648438,85.2195053100586,86.60331726074219,87.16896057128906,82.20948791503906,84.61662292480469,86.23775482177734,84.88180541992188,85.55440521240234
4587,83.688232421875,83.91371154785156,83.80081939697266,85.11895751953125,84.11576080322266,84.61438751220703,84.92784118652344,82.89690399169922,83.90008544921875,87.06143188476562,87.12046813964844,87.0909423828125
4591,86.06666564941406,83.61256408691406,84.82186889648438,87.57109832763672,86.98737335205078,87.27825927734375,88.9957275390625,85.29676055908203,87.10699462890625,85.48184967041016,85.19573211669922,85.33855438232422
4601,86.94329071044922,83.10403442382812,84.9803237915039,89.36597442626953,84.55999755859375,86.89659118652344,83.5993881225586,81.64873504638672,82.61254119873047,89.90760040283203,88.47052764892578,89.18327331542969
4602,87.0239028930664,85.21092224121094,86.10787200927734,86.6327133178711,86.28308868408203,86.4575424194336,86.22659301757812,83.6630859375,84.92549896240234,87.90377044677734,88.4349136352539,88.16854095458984
4605,91.70912170410156,87.69512176513672,89.65721893310547,88.79022216796875,88.49491882324219,88.64232635498047,88.69623565673828,84.81005096435547,86.7096176147461,89.68740844726562,88.46173095703125,89.07035064697266
4606,84.91040802001953,82.77992248535156,83.83163452148438,91.58475494384766,90.16925048828125,90.87149047851562,87.7451171875,85.13988494873047,86.4228744506836,89.63681030273438,89.315185546875,89.47570037841797
4607,89.04814910888672,88.08824157714844,88.56559753417969,87.94113159179688,87.29222869873047,87.61547088623047,87.19320678710938,86.30375671386719,86.74620056152344,92.03231811523438,89.75991821289062,90.88191223144531
4608,88.86180877685547,83.01351928710938,85.83816528320312,88.71183776855469,83.70992279052734,86.1383285522461,87.4370346069336,83.1524429321289,85.24093627929688,88.33653259277344,84.17525482177734,86.20569610595703
4609,88.49059295654297,86.58973693847656,87.52984619140625,92.84444427490234,87.39905548095703,90.03949737548828,84.4082260131836,83.03968048095703,83.71835327148438,84.73133087158203,85.36209869384766,85.04554748535156
4611,89.43047332763672,85.94122314453125,87.65113067626953,90.20256805419922,87.92478942871094,89.04911804199219,88.38712310791016,84.20215606689453,86.24388885498047,91.17801666259766,86.11234283447266,88.57280731201172
4614,90.48408508300781,88.31536865234375,89.3865737915039,90.15525817871094,88.22755432128906,89.18098449707031,89.7842788696289,86.12567138671875,87.91693115234375,89.33290100097656,88.38870239257812,88.8582992553711
4616,86.92817687988281,86.33638763427734,86.63127136230469,86.11624145507812,86.73260498046875,86.42332458496094,87.87042236328125,85.32931518554688,86.58122253417969,82.70622253417969,81.93363952636719,82.31812286376953
4617,86.51779174804688,83.38684844970703,84.92347717285156,79.49788665771484,82.5802230834961,81.0097427368164,87.46910095214844,83.87952423095703,85.63671875,87.313232421875,86.76307678222656,87.03728485107422
4619,85.75218963623047,86.0219497680664,85.88685607910156,89.62267303466797,88.90628814697266,89.26304626464844,86.77056884765625,86.08757781982422,86.42772674560547,87.80157470703125,86.27497863769531,87.03158569335938
4627,85.96366882324219,86.88583374023438,86.42228698730469,85.5015640258789,89.38514709472656,87.40023040771484,82.29658508300781,81.94313049316406,82.11947631835938,83.6058349609375,86.7898941040039,85.1681137084961
4629,84.55408477783203,83.70015716552734,84.12495422363281,84.65657043457031,84.99980926513672,84.82784271240234,86.98140716552734,83.93681335449219,85.4319839477539,82.63082885742188,84.43949127197266,83.5253677368164
4631,84.00081634521484,84.36494445800781,84.18248748779297,87.96363067626953,88.08466339111328,88.02410888671875,85.09407043457031,82.50582122802734,83.77996063232422,86.64031219482422,87.08432006835938,86.86174774169922
4633,89.17755126953125,85.64080810546875,87.37340545654297,87.10912322998047,86.0893783569336,86.59624481201172,87.33118438720703,84.3279037475586,85.80326843261719,88.90773010253906,87.9090576171875,88.40557098388672
4635,84.03630828857422,80.92931365966797,82.45355224609375,86.03695678710938,83.90613555908203,84.95818328857422,86.9236831665039,82.31379699707031,84.55595397949219,87.13716125488281,83.07361602783203,85.056884765625
4637,84.77930450439453,83.32414245605469,84.04542541503906,85.85245513916016,86.39563751220703,86.12318420410156,83.97811889648438,81.5542984008789,82.74846649169922,85.88670349121094,83.80005645751953,84.8305435180664
4638,87.94930267333984,83.35770416259766,85.59196472167969,88.4518051147461,86.07170867919922,87.24552154541016,88.13536834716797,83.12926483154297,85.55915069580078,87.91804504394531,83.78577423095703,85.80218505859375
4639,86.50435638427734,84.3666763305664,85.42214965820312,90.40931701660156,89.70976257324219,90.05817413330078,90.56169891357422,88.13360595703125,89.3311538696289,90.8866195678711,87.99687957763672,89.41840362548828
