sample_id,flat_1024_fluency,flat_overlap_fluency,treesum_fluency
2779,0.8248418375950811,0.9046160856128906,0.8928143316470887
2786,0.9479510062269676,0.9479510170504041,0.9427383714278703
2787,0.9602136736928706,0.867001402234415,0.9513585831688905
2788,0.9568186722998988,0.9442714324901951,0.9300883513987618
2791,0.9399269114314909,0.936842207183789,0.6845000766352565
2795,0.9291326073572452,0.9291326058376487,0.8391958085476061
2808,0.6959922497676505,0.7033982271753138,0.8140829314927149
2816,0.9403150709581722,0.8629482726189038,0.8872131469625635
2817,0.9439985737985371,0.9486229612235845,0.8184221376769165
2831,0.9508073086758557,0.9508072818255099,0.8205306505692036
2844,0.8463433604844489,0.9496609470433245,0.818009178401221
2850,0.9592589022043551,0.9592588864059266,0.9371694341885625
2859,0.944948833232723,0.9481466320368356,0.9316515503927778
2864,0.9501095505224414,0.961235806138122,0.9542357155487405
2866,0.9293976180440062,0.9293976301937007,0.9604477656691717
2876,0.9609186804417874,0.9609186983408842,0.7269060653454321
2881,0.9332144869745379,0.939786521743425,0.9400575961404295
2882,0.9359678158815354,0.9359678158815354,0.9616698623894189
2897,0.9512787393239727,0.9485897193458662,0.9151650335194623
2902,0.8445707391288286,0.9537175921447355,0.8876379480687303
2906,0.9422888238913832,0.9381482560054955,0.9403436807547639
2910,0.9509705518268802,0.9396447164277765,0.9540172626986752
2931,0.9106162373774705,0.9121594904546276,0.7540430725233883
2940,0.9587385763870021,0.9524069606740011,0.9528465109636214
2956,0.9561596078347806,0.9518759705331878,0.9261118315475021
2962,0.9488952261340109,0.9548443557855116,0.9569628288807898
2963,0.9458352121015319,0.9259930721856803,0.954769723239763
2965,0.9540651019047729,0.9540651111802498,0.9022600474320839
2967,0.9011695190244537,0.9011695095094115,0.9589091144476293
2973,0.8028781273564337,0.7134128850243405,0.9515572264648807
2983,0.9240989066292838,0.9566699834897104,0.9208782923221467
2987,0.9208253440176206,0.9208253494608122,0.9527887314439636
2988,0.779534524476945,0.7547187343465688,0.7463765953744743
3021,0.8555765313128774,0.8469586548571296,0.9384608792521894
3023,0.9311798337866257,0.8965198406273907,0.9070358616048034
3024,0.8694620979428765,0.9625519070688364,0.9557394313028779
3027,0.9448990053361176,0.9448990213626227,0.9540684720672463
3032,0.9547293512548599,0.9011531243403275,0.8606551514390369
3035,0.9091102310393235,0.9091102254072707,0.8150584831500602
3059,0.9073219473121017,0.8869850887701383,0.9431207302212125
3063,0.7143694171937156,0.6584449387640611,0.7760014126458454
3074,0.9505791907580549,0.8571571460170299,0.7894256152523149
3100,0.9397770147204086,0.9432333070156358,0.9471504898813191
3104,0.945709614615033,0.9457095590674139,0.9523937170524297
3105,0.8528509765253872,0.8356667280925633,0.8177284139774232
3108,0.9331817198379065,0.9290352784554656,0.9515048710021679
3112,0.9607236278031791,0.9607236278031791,0.9608629673524415
3113,0.950173136529639,0.8554380504116302,0.948021901958352
3116,0.9431794194483464,0.946293910422627,0.8993038355562966
3126,0.8132861087290959,0.8132861103744129,0.8960367953843781
3133,0.9565227733712361,0.7406500621085771,0.9331816790810171
3137,0.9433221462869841,0.9433221750095221,0.9564803354985348
3142,0.9139243283879861,0.8740126461913043,0.866101010702767
3145,0.9396852960116675,0.937347450247317,0.9353414197554641
3152,0.8126298539103183,0.9423878299123121,0.9100883521452965
3155,0.9117423450829829,0.9071705105757886,0.9070290325836485
3185,0.9484185669354064,0.9493448985823556,0.8835725276223694
3190,0.8550826246820585,0.9436316656644809,0.9606380513663229
3194,0.7568400971568453,0.8512060450703532,0.9362809483264295
3198,0.9573281141049174,0.9589879129816542,0.9436434229737184
3227,0.925123033275113,0.9251230290021165,0.8595899008418751
3241,0.9215779194754387,0.9511013006465558,0.9523025825946227
3242,0.9472581793831394,0.7892689250561574,0.9592262044555676
